code,country,gdp_per_capita,year,meningitis,alzheimer's_diesease,parkinson's_disease,nutritional_deficiency,malaria,drowning,interpersonal_violence,maternal_disorders,hiv/aids,drug_use_disorders,tuberculosis,cardiovascular_diseases,lower_respiratory_infections,neonatal_disorders,alcohol_use_disorders,self_harm,exposure_to_forces_of_nature,diarrheal_diseases,environmental_heat_and_cold_exposure,neoplasms,conflict_and_terrorism,diabetes_mellitus,chronic_kidney_disease,poisonings,protein_energy_malnutrition,terrorism,road_injuries,chronic_respiratory_diseases,chronic_liver_diseases,digestive_diseases,fire_heat_hot_substance,acute_hepatitis,Total_deaths,Female,Male,Female_pct,Male_pct,Age_0to15,Age_16to40,Age_41to65,Age_65to87
AFG,Afghanistan,25461,1991,2218,1136,374,2153,189,1391,2001,2885,41,102,4743,45492,24504,17128,75,751,1347,4927,113,11796,3370,2120,3724,351,2119,68,4472,6050,2728,5120,332,3092,156912,575,501,53.43866171,46.56133829,5,37,54,85
AFG,Afghanistan,18458,1992,2475,1162,378,2441,239,1514,2299,3315,48,118,4976,46557,27404,20060,80,855,614,6123,38,12218,4344,2153,3776,386,2404,49,5106,6223,2830,5335,360,3325,169205,514,747,40.76130056,59.23869944,14,36,48,86
AFG,Afghanistan,7984,1993,2812,1187,384,2837,108,1687,2589,3671,56,132,5254,47951,31116,22335,85,943,225,8174,41,12634,4096,2195,3862,425,2797,,5681,6445,2943,5568,396,3601,182230,857,363,70.24590164,29.75409836,14,35,44,80
AFG,Afghanistan,11574,1994,3027,1211,391,3081,211,1809,2849,3863,63,142,5470,49308,33390,23288,88,993,160,8215,44,12914,8959,2231,3932,451,3038,22,6001,6664,3027,5739,420,3816,194817,639,866,42.45847176,57.54152824,9,22,61,71
AFG,Afghanistan,48901,1995,3102,1225,394,3131,175,1881,2969,4035,71,151,5628,50158,34030,23722,91,1032,381,9566,46,13106,5525,2248,3974,467,3087,5,6211,6823,3076,5843,434,3946,196533,693,244,73.95944504,26.04055496,14,22,50,80
AFG,Afghanistan,26819,1996,3193,1239,398,3175,175,1969,3331,4203,78,159,5821,51125,34787,24104,93,1070,70,9682,49,13335,3255,2298,4041,485,3130,31,6446,7000,3133,5966,450,4098,198389,613,554,52.52784919,47.47215081,6,28,52,66
AFG,Afghanistan,1008,1997,3304,1253,402,3250,240,2078,3028,4351,84,168,5949,52039,35565,24368,96,1104,175,10656,50,13572,6723,2347,4094,504,3203,4,6677,7168,3200,6096,469,4252,206469,505,675,42.79661017,57.20338983,12,28,62,77
AFG,Afghanistan,33918,1998,3281,1267,405,3193,563,2098,3098,4397,89,173,5930,52720,34943,24010,97,1114,7123,11155,51,13695,12073,2388,4120,505,3145,8,6683,7287,3231,6154,472,4310,219778,112,159,41.32841328,58.67158672,14,22,58,72
AFG,Afghanistan,29017,1999,3200,1281,409,3115,468,2084,2917,4327,93,178,5887,53413,33713,23386,98,1120,70,11313,51,13811,5104,2437,4150,502,3068,39,6603,7400,3247,6182,470,4332,204468,437,753,36.72268908,63.27731092,2,40,44,68
AFG,Afghanistan,20261,2000,3105,1291,416,3060,263,2048,2871,4271,97,186,5864,53919,32395,22920,99,1137,0,11323,52,13977,5429,2515,4182,499,3013,38,6581,7471,3249,6206,465,4334,203276,246,445,35.60057887,64.39942113,14,21,56,83
AFG,Afghanistan,3640,2001,3063,1300,424,2973,211,2044,2971,4385,104,197,5900,54642,31594,23276,101,1183,4,11446,380,14312,5689,2657,4251,502,2924,174,6720,7565,3267,6277,467,4363,205366,321,587,35.35242291,64.64757709,14,38,43,67
AFG,Afghanistan,15272,2002,2990,1311,429,2795,2883,1980,3277,4498,111,202,5660,54213,30346,23976,101,1190,1286,11393,53,14437,977,2745,4239,490,2746,74,6696,7455,3238,6246,455,4251,202743,661,174,79.16167665,20.83832335,11,17,61,86
AFG,Afghanistan,19778,2003,3300,1326,434,3039,2188,2282,3458,4702,118,216,5676,54274,32361,24628,104,1235,137,12348,55,14951,864,2865,4336,531,2984,163,7243,7471,3342,6443,499,4373,207946,686,992,40.88200238,59.11799762,3,26,50,78
AFG,Afghanistan,28166,2004,3350,1344,439,3033,773,2386,3479,4799,125,229,5607,54438,32222,24780,107,1283,18,12258,57,15360,1049,2986,4413,547,2978,275,7522,7477,3394,6541,516,4345,208130,573,413,58.11359026,41.88640974,7,18,41,77
AFG,Afghanistan,13592,2005,3238,1362,442,2879,545,2315,3506,4936,132,239,5403,54196,30898,24725,109,1300,561,11532,78,15556,2114,3070,4431,540,2824,367,7577,7391,3388,6528,507,4194,206883,662,123,84.33121019,15.66878981,5,19,55,65
AFG,Afghanistan,35605,2006,3098,1381,446,2727,414,2235,3609,4884,140,245,5203,54080,29406,24229,110,1303,382,10356,57,15724,5677,3130,4461,527,2675,732,7484,7310,3366,6494,496,3870,206251,491,948,34.1209173,65.8790827,5,21,43,73
AFG,Afghanistan,27132,2010,2410,1476,465,1974,377,1837,4130,4940,176,281,4416,53934,23701,23821,118,1367,350,6889,57,16718,8273,3413,4693,484,1932,1157,7379,6969,3304,6367,451,2482,196341,222,592,27.27272727,72.72727273,8,27,58,71
AFG,Afghanistan,12051,2017,1665,1728,537,1367,399,1723,5191,4123,272,372,3783,59553,19868,23956,139,1548,226,5328,59,20111,19356,4497,5419,512,1332,6092,8013,6982,3693,6841,476,2046,217207,892,158,84.95238095,15.04761905,11,35,46,65
AFG,Afghanistan,49829,2018,1576,1757,551,1279,466,1669,5500,4102,291,390,3681,60893,19014,23841,143,1582,123,4597,59,20673,27079,4664,5531,514,1245,,8095,7036,3732,6861,475,1972,219391,553,114,82.90854573,17.09145427,2,39,47,67
AFG,Afghanistan,24662,2019,1563,1775,560,1244,530,1687,5015,4038,318,406,3627,61995,18697,23701,147,1613,128,4320,59,21247,24295,4817,5637,525,1210,,8254,7082,3797,6929,485,1940,217641,787,389,66.92176871,33.07823129,4,26,44,77
,African Region (WHO),17664,1990,172206,24312,6573,215934,588508,27182,50714,77668,265452,1068,417463,612041,767792,636099,4098,40058,290,931601,4236,250601,74534,74790,64609,17453,208628,,130403,123351,119201,198446,19552,17666,6142529,364,226,61.69491525,38.30508475,7,19,56,80
,African Region (WHO),49416,1991,174087,25173,6754,216068,607330,27357,52671,78143,343399,1121,423140,625730,774437,644498,4199,41029,574,953765,4318,257246,30864,76945,66230,17461,208785,,132658,125505,121587,202452,19696,17844,6281066,990,160,86.08695652,13.91304348,2,23,41,78
,African Region (WHO),34554,1992,178190,26141,6988,217480,620445,27469,56013,79202,433895,1199,430416,643699,784696,654317,4323,42534,30,942943,4433,265162,9683,79846,68274,17712,210192,,136413,128229,124268,207105,20040,18069,6439406,668,750,47.10860367,52.89139633,0,30,44,82
,African Region (WHO),37432,1993,179299,27051,7182,217090,638935,27435,59415,79594,535470,1225,435082,656275,790421,665821,4377,42902,115,939403,4477,270050,18618,81711,69626,17734,209852,,136847,129724,126184,210463,20066,18164,6620608,725,229,75.99580713,24.00419287,6,29,47,73
,African Region (WHO),47161,1994,178971,28014,7414,215874,650973,27428,58643,80682,645341,1290,444128,673422,798497,677899,4485,44173,892,958854,4573,277583,532119,84769,71447,17835,208675,,139782,132378,128478,214555,20307,18447,7347928,476,883,35.02575423,64.97424577,4,36,59,73
,African Region (WHO),16889,1995,181068,28896,7628,213775,668983,27334,59011,80878,760306,1340,453413,689162,805722,690353,4582,45298,324,950527,4659,284299,28496,87414,72963,17862,206636,,142066,134766,130830,218580,20343,18793,7036307,748,501,59.88791033,40.11208967,11,39,57,75
,African Region (WHO),4878,1996,196542,29893,7886,210452,688268,27045,60209,81732,875836,1373,458276,709224,808447,702368,4683,46115,296,952899,4750,292146,55439,91209,74777,17815,203405,,143610,137669,133001,222476,20342,19003,7277186,967,860,52.92829776,47.07170224,1,20,47,83
,African Region (WHO),20554,1997,186353,30890,8162,207241,708186,27287,61570,82906,989767,1461,461361,730919,812036,714742,4843,48221,853,949363,4812,302488,69745,96062,77039,18037,200289,,148113,140773,135612,227076,20682,19258,7486147,544,405,57.32349842,42.67650158,0,32,54,85
,African Region (WHO),28916,1998,186059,31883,8386,204485,726403,27224,64521,85047,1101108,1509,466997,747403,815131,726950,4938,50023,275,944588,4909,310208,74054,99506,78881,18097,197634,,151827,143155,138302,231909,21022,19560,7681994,666,253,72.47007617,27.52992383,3,27,48,79
,African Region (WHO),21941,1999,188150,32834,8559,200991,743180,27200,66899,87025,1203809,1543,469673,759038,817469,737415,4965,51001,706,935033,4958,315331,103105,101632,80166,18195,194314,,154153,143858,140632,236196,21093,19735,7868858,531,451,54.07331976,45.92668024,7,40,52,86
,African Region (WHO),6655,2000,190368,33987,8862,195624,763846,27216,69723,88500,1294485,1596,476694,774070,820652,746944,5014,52486,1433,920205,5034,322351,86062,104931,82261,18383,189269,,157798,146081,143006,240487,21459,20009,8008836,391,885,30.64263323,69.35736677,2,22,62,70
,African Region (WHO),10257,2001,191541,34988,9103,188347,793502,27093,69003,90121,1369991,1607,475313,780921,815453,756089,5017,53194,1628,905740,5069,326917,29179,107134,83822,18288,182390,,158898,147041,144955,243386,21558,20181,8057469,487,705,40.8557047,59.1442953,7,23,50,81
,African Region (WHO),8481,2002,191641,36412,9472,182910,804507,27244,71584,92591,1430201,1639,472564,793244,814555,766943,5079,54425,703,884881,5194,334650,34932,110345,86103,18473,177278,,161684,149095,147447,247642,21775,19959,8155172,574,976,37.03225806,62.96774194,4,21,58,68
,African Region (WHO),12011,2003,195470,37641,9750,175227,835458,27422,70893,95596,1473615,1670,470406,802676,808557,777999,5169,55796,2806,859799,5230,343083,30846,113751,88296,18612,169874,,164941,151126,150174,251955,21991,19800,8235629,925,945,49.46524064,50.53475936,0,34,61,75
,African Region (WHO),38663,2004,193935,39085,10072,168344,841388,27387,71582,98071,1491641,1698,464556,811469,801123,788135,5250,56686,635,836517,5223,351470,20148,116667,90177,18747,163232,,167244,152768,152951,256351,22274,19614,8244440,462,123,78.97435897,21.02564103,6,28,41,85
,African Region (WHO),48788,2005,194506,40564,10406,163907,831177,27583,70507,99452,1470200,1721,455817,819013,792862,799180,5320,57189,487,818603,5250,359312,17479,119691,91710,18871,159014,,168488,154107,155471,260230,22463,19428,8210008,493,871,36.14369501,63.85630499,11,36,63,75
,African Region (WHO),13189,2006,196650,42185,10811,158053,833619,27887,71134,100304,1407953,1754,452305,832698,791879,806174,5415,57820,1376,817072,5313,368885,6419,123593,93883,19086,153330,,170604,156139,157350,264639,22817,18981,8176128,193,402,32.43697479,67.56302521,8,20,63,80
,African Region (WHO),33042,2007,195161,43425,11069,151048,835237,27732,70464,100767,1318224,1785,445259,841784,782861,812008,5484,58014,851,801386,5356,376491,5278,126345,95310,19117,146513,,171057,156575,158696,267813,22983,18048,8072141,418,194,68.30065359,31.69934641,3,19,46,79
,African Region (WHO),17226,2008,189839,45053,11469,143418,832282,27146,70859,100614,1218332,1839,438248,856898,768014,814701,5578,58492,698,782170,5331,386074,9782,129587,97223,18993,139051,,171025,157675,160136,270956,22859,17050,7951392,151,548,21.60228898,78.39771102,14,35,61,80
,African Region (WHO),1233,2009,187657,46598,11840,136904,821742,26969,70542,101003,1129009,1906,432015,874100,756479,815765,5713,59195,656,767137,5354,397522,17706,133384,99802,18954,132650,,171249,159341,162454,275342,22863,16377,7858228,937,273,77.43801653,22.56198347,15,39,62,79
,African Region (WHO),24525,2010,182351,48285,12232,131125,804031,26638,71445,100748,1056095,1940,422921,889338,743510,815881,5835,59715,1191,745735,5344,409619,6128,137205,102208,19084,126961,,171282,161018,165084,279644,22849,15977,7741419,731,751,49.32523617,50.67476383,9,16,50,77
,African Region (WHO),26117,2011,172992,50114,12632,127263,764244,26284,72653,100550,987518,2000,413729,908139,730110,816032,5982,60078,792,722725,5315,422028,6727,140898,104596,18866,123154,,171257,162543,166714,284185,22821,15720,7618661,666,197,77.17265353,22.82734647,15,33,60,83
,African Region (WHO),40832,2012,169244,51923,13039,123130,727320,26188,72562,99221,915689,2062,408150,928397,723919,813920,6134,60815,964,701462,5320,435399,8152,144621,107177,18964,119060,,172395,164344,168677,289181,22956,15470,7515855,690,124,84.76658477,15.23341523,3,26,47,87
,African Region (WHO),37000,2013,161754,53737,13440,120077,694438,25939,73762,97999,852253,2140,405933,947673,720857,810553,6303,61688,707,685617,5360,449450,19938,148440,110019,19026,116021,,173218,166320,170798,294354,23166,15255,7446235,892,571,60.97060834,39.02939166,9,26,41,73
,African Region (WHO),43804,2014,158749,55350,13760,117086,655614,25925,76260,96746,804418,2226,405962,968596,718903,804266,6472,62792,481,671049,5427,463478,27247,152765,113314,19096,113054,,175064,168346,172476,298780,23365,15044,7392111,405,955,29.77941176,70.22058824,15,32,49,78
,African Region (WHO),16495,2015,151136,57349,14219,114234,631381,25661,75765,94701,768624,2297,402753,996806,713144,794969,6603,63572,1113,653813,5442,476591,24033,157094,116436,19054,110216,,177278,170376,173551,302088,23658,14778,7338735,501,226,68.9133425,31.0866575,11,40,61,71
,African Region (WHO),15581,2016,150715,59145,14537,112307,604566,25516,77100,93796,742638,2382,395453,1016603,705550,786830,6735,64565,977,642033,5455,489801,13019,160957,119305,19089,108266,,177824,172175,176506,307832,23658,14626,7289961,553,789,41.2071535,58.7928465,0,35,59,69
,African Region (WHO),40999,2017,148223,61384,14956,110048,578326,24882,79592,92905,707227,2483,385580,1039287,689041,772864,6898,65978,2565,632875,5429,504198,18316,164342,121844,18993,105990,,179171,174525,181635,315441,23607,14517,7243122,614,132,82.30563003,17.69436997,10,19,52,75
,African Region (WHO),49718,2018,142925,63753,15435,103714,578552,24363,82156,92260,660555,2600,375906,1061135,673757,761498,7078,67819,949,601166,5407,518707,15283,166817,124402,18910,99740,,180937,176494,184726,319603,23652,14176,7164475,981,185,84.13379074,15.86620926,11,39,63,69
,African Region (WHO),38972,2019,139590,66124,15930,98704,590252,23768,79735,91905,635623,2703,369065,1085321,662060,749955,7261,69367,1642,576592,5391,533567,9519,170540,127158,18792,94780,,182243,178908,187968,324066,23657,13950,7136136,293,629,31.77874187,68.22125813,3,21,49,66
ALB,Albania,22987,1990,107,360,93,37,0,147,177,26,1,5,46,6701,2140,871,10,125,0,76,5,2616,0,100,241,13,35,0,395,1006,326,648,31,4,16342,680,427,61.42728094,38.57271906,1,18,43,78
ALB,Albania,40081,1991,112,363,96,42,0,160,207,24,1,7,45,6903,2196,863,11,136,0,76,5,2698,0,107,246,16,40,0,421,1009,330,662,34,3,16813,498,831,37.4717833,62.5282167,9,17,52,84
ALB,Albania,45994,1992,108,365,94,44,0,154,232,21,1,7,40,6699,2104,849,11,132,11,73,5,2642,1,106,233,17,42,1,400,967,318,644,35,3,16359,691,343,66.827853,33.172147,7,24,47,73
ALB,Albania,31056,1993,102,368,92,46,0,148,258,18,2,10,35,6480,1977,840,11,131,0,66,5,2586,2,104,222,20,44,,366,922,307,621,33,3,15819,195,152,56.19596542,43.80403458,0,26,53,83
ALB,Albania,12304,1994,93,373,90,46,0,144,286,14,2,15,31,6191,1795,833,12,125,1,79,5,2493,18,102,209,22,44,1,318,855,287,577,30,2,15093,431,170,71.71381032,28.28618968,6,39,44,87
ALB,Albania,30703,1995,85,382,95,48,0,142,327,13,2,17,29,6500,1627,806,13,133,4,41,6,2614,2,109,217,24,46,,297,851,289,560,28,2,15309,926,896,50.82327113,49.17672887,10,40,58,81
ALB,Albania,7889,1996,76,391,100,46,0,138,369,12,2,17,28,6822,1461,788,13,141,1,32,6,2756,8,116,224,24,44,7,283,850,288,540,26,2,15611,659,820,44.5571332,55.4428668,9,19,49,76
ALB,Albania,8428,1997,69,400,105,43,0,127,447,11,2,17,27,7063,1309,813,14,158,1,27,7,2871,2026,123,232,25,41,26,288,832,286,522,25,2,17939,242,662,26.7699115,73.2300885,5,36,65,69
ALB,Albania,46770,1998,63,411,108,38,0,126,480,9,2,21,26,7269,1176,836,15,170,0,22,7,2963,5,129,238,27,36,0,297,804,279,499,24,2,16082,894,949,48.50786761,51.49213239,3,33,46,75
ALB,Albania,9707,1999,55,425,113,31,0,112,404,8,2,18,23,7490,1023,779,15,163,1,17,7,3030,12,136,241,26,30,6,274,775,272,472,22,1,15983,210,243,46.35761589,53.64238411,12,21,52,70
ALB,Albania,40181,2000,48,438,117,22,0,91,309,8,2,21,21,7641,875,711,14,151,0,15,6,3073,1,141,244,24,21,0,259,753,265,451,21,1,15744,650,476,57.72646536,42.27353464,7,37,44,77
ALB,Albania,6022,2001,42,451,118,16,0,80,250,6,2,26,19,7622,742,663,15,148,0,13,6,3044,5,140,237,23,15,0,257,706,255,429,19,1,15350,906,553,62.09732694,37.90267306,12,25,55,79
ALB,Albania,1731,2002,39,471,128,13,0,76,204,6,2,30,18,8230,671,617,15,154,7,11,6,3190,1,151,243,22,11,,268,711,257,427,19,1,15999,706,478,59.62837838,40.37162162,0,31,61,83
ALB,Albania,14021,2003,36,489,141,10,0,70,164,6,2,31,18,9045,624,569,16,165,0,10,6,3388,0,163,256,20,9,0,287,734,266,438,19,1,16983,878,845,50.95763204,49.04236796,14,16,41,67
ALB,Albania,20779,2004,33,501,147,8,0,64,128,5,2,30,17,9335,560,516,16,170,1,10,8,3463,9,163,256,18,7,,290,716,268,438,18,1,17198,159,451,26.06557377,73.93442623,15,40,50,70
ALB,Albania,39936,2005,30,514,149,7,0,53,92,6,2,23,15,9414,501,470,16,169,5,9,5,3468,10,156,252,14,6,,276,676,267,433,17,1,17056,766,541,58.60749809,41.39250191,13,24,43,80
ALB,Albania,29577,2006,28,527,146,6,0,45,77,5,2,21,13,9172,441,430,16,162,0,8,4,3395,18,142,240,12,5,,260,622,261,420,16,1,16495,249,880,22.05491585,77.94508415,13,20,45,73
ALB,Albania,40092,2007,24,543,146,6,0,44,76,5,2,23,12,9024,393,392,16,158,0,8,4,3357,18,130,231,12,4,,258,586,260,413,16,1,16162,602,886,40.45698925,59.54301075,12,20,42,72
ALB,Albania,30957,2008,21,567,154,5,0,42,71,5,2,23,11,9393,374,365,17,163,0,7,4,3471,8,125,236,12,4,,261,583,269,423,16,1,16633,997,128,88.62222222,11.37777778,15,23,41,71
ALB,Albania,38884,2009,17,590,159,5,0,40,62,4,2,19,10,9513,357,335,16,160,0,7,4,3528,0,119,238,11,4,0,249,578,274,428,15,1,16745,665,809,45.11533243,54.88466757,12,22,63,83
ALB,Albania,32373,2010,16,616,166,5,0,41,66,4,2,21,10,9748,351,308,17,160,2,7,5,3617,0,120,247,12,4,,252,587,280,436,16,1,17117,234,883,20.94897046,79.05102954,5,24,57,72
ALB,Albania,23093,2011,13,647,176,5,0,38,65,4,2,22,11,10142,359,293,17,160,0,7,5,3759,0,127,257,12,4,,255,616,288,450,16,1,17751,975,336,74.37070938,25.62929062,1,34,53,70
ALB,Albania,32759,2012,13,678,185,5,0,40,64,4,2,23,11,10446,369,269,17,158,0,7,9,3865,0,133,265,12,4,,252,639,293,459,16,1,18239,792,659,54.58304618,45.41695382,7,40,47,65
ALB,Albania,37208,2013,13,710,195,5,0,40,63,4,2,24,11,10800,383,243,17,157,0,7,4,3982,0,139,275,12,4,0,251,665,299,468,17,1,18791,378,470,44.5754717,55.4245283,4,28,60,82
ALB,Albania,43704,2014,13,743,207,5,0,42,63,3,2,25,11,11275,401,218,18,158,0,7,4,4143,1,147,286,12,4,1,254,702,306,482,17,1,19551,302,504,37.46898263,62.53101737,7,30,47,83
ALB,Albania,12098,2015,14,776,219,5,0,41,63,3,2,26,11,11754,418,199,18,160,1,7,4,4313,0,155,299,12,4,0,258,737,317,498,18,1,20333,467,383,54.94117647,45.05882353,5,27,49,71
ALB,Albania,45798,2016,14,809,227,5,0,41,62,3,2,27,11,12053,430,186,18,158,2,7,4,4419,0,161,307,12,4,0,255,759,321,506,18,1,20822,399,909,30.50458716,69.49541284,2,28,54,76
ALB,Albania,44405,2017,13,844,235,5,0,38,60,3,2,28,11,12345,440,176,18,156,1,7,10,4517,0,166,314,12,4,0,251,779,326,515,18,1,21295,692,267,72.15849844,27.84150156,13,22,47,66
ALB,Albania,41784,2018,13,880,242,5,0,37,59,3,2,28,11,12629,448,168,18,154,0,7,4,4611,0,170,321,11,3,,247,797,330,521,18,1,21738,527,996,34.60275772,65.39724228,9,20,48,84
ALB,Albania,32067,2019,13,917,248,5,0,36,57,3,2,29,11,12904,457,161,18,152,51,7,4,4705,0,175,329,11,3,,243,815,333,527,18,1,22235,746,260,74.15506958,25.84493042,1,33,53,69
DZA,Algeria,44479,1990,838,1337,439,453,9,1207,491,1634,44,171,939,53488,8125,17931,75,1405,0,2908,35,10571,4,1743,3559,485,422,3,13438,4410,2401,3981,1113,486,134145,289,940,23.51505289,76.48494711,11,19,59,81
DZA,Algeria,29154,1991,794,1411,451,439,9,1136,484,1541,50,179,884,54722,7701,17421,76,1388,0,2598,34,10917,76,1787,3640,469,408,42,13120,4481,2456,4033,1078,478,134303,971,456,68.04484933,31.95515067,9,34,46,84
DZA,Algeria,39348,1992,763,1494,470,427,12,1111,497,1482,57,192,853,56107,7409,16918,78,1406,21,2363,34,11145,510,1813,3687,464,396,236,13115,4571,2500,4083,1071,472,135757,357,275,56.48734177,43.51265823,4,28,54,84
DZA,Algeria,17670,1993,736,1582,488,417,12,1092,513,1422,64,205,828,57522,7162,16442,80,1428,37,2160,34,11386,826,1840,3741,461,386,,13154,4668,2542,4136,1067,470,136901,231,951,19.54314721,80.45685279,9,24,42,67
DZA,Algeria,44009,1994,708,1675,509,402,8,1086,553,1356,72,223,802,59055,6905,15878,82,1474,211,1994,34,11629,2428,1873,3806,460,370,500,13326,4773,2588,4193,1095,469,140537,150,433,25.72898799,74.27101201,14,16,44,76
DZA,Algeria,8616,1995,678,1763,525,385,7,1061,600,1295,80,239,763,60182,6636,15272,84,1500,0,1836,33,11865,3425,1894,3856,456,354,418,13374,4846,2632,4242,1066,468,141835,974,850,53.39912281,46.60087719,6,32,60,66
DZA,Algeria,49848,1996,650,1855,540,367,5,1035,559,1229,90,256,724,61130,6400,14748,85,1521,4,1644,33,12034,1620,1917,3906,452,336,529,13410,4903,2670,4281,1057,465,140455,921,389,70.30534351,29.69465649,14,31,48,73
DZA,Algeria,29324,1997,637,1945,554,356,5,1042,831,1167,101,274,697,62011,6280,14322,86,1546,4,1545,33,12203,4905,1933,3937,455,326,4266,13558,4960,2718,4339,1066,461,148563,888,230,79.42754919,20.57245081,1,27,65,65
DZA,Algeria,47251,1998,622,2037,565,342,2,1016,736,1093,113,290,670,62637,6122,13937,87,1550,0,1434,33,12338,4410,1941,3962,451,313,952,13525,4993,2753,4379,1054,454,144811,783,763,50.64683053,49.35316947,8,39,53,71
DZA,Algeria,47456,1999,602,2129,582,324,1,1001,616,1069,118,310,653,64123,6016,13633,89,1584,34,1345,33,12640,1519,1994,4060,452,295,467,13631,5080,2821,4469,1056,450,143196,297,733,28.83495146,71.16504854,3,29,53,77
DZA,Algeria,30239,2000,586,2219,597,308,0,963,621,1027,123,327,625,64792,5897,13420,89,1591,48,1247,33,12910,2534,2062,4136,449,279,528,13538,5124,2870,4533,1032,441,144949,952,171,84.77292965,15.22707035,5,40,50,67
DZA,Algeria,44729,2001,571,2313,618,283,0,921,627,993,137,341,601,65386,5795,13183,89,1599,921,1147,33,13167,1330,2178,4222,446,255,624,13410,5179,2911,4600,999,415,145294,210,899,18.93597836,81.06402164,4,22,64,78
DZA,Algeria,2298,2002,556,2411,641,253,0,873,628,982,155,354,585,65986,5696,13010,90,1601,48,1040,34,13499,1597,2300,4326,439,228,615,13224,5240,2935,4648,987,374,145355,215,249,46.3362069,53.6637931,4,32,62,69
DZA,Algeria,9480,2003,538,2508,655,223,0,815,622,923,175,355,566,66329,5586,12955,89,1554,2329,949,73,13869,932,2415,4422,422,200,269,12701,5270,2954,4684,920,333,146635,499,962,34.15468857,65.84531143,0,35,64,69
DZA,Algeria,37985,2004,530,2618,683,201,0,783,585,892,196,364,554,67142,5549,12900,90,1547,22,879,33,14377,577,2560,4605,417,178,166,12535,5353,2988,4747,898,303,145272,313,558,35.93570608,64.06429392,14,21,62,69
DZA,Algeria,49542,2005,517,2732,714,183,0,748,567,876,217,373,540,67957,5492,12846,90,1537,22,810,33,14916,324,2706,4771,408,162,228,12320,5437,3021,4801,874,287,146509,800,157,83.59456635,16.40543365,7,27,58,86
DZA,Algeria,18485,2006,503,2847,744,167,0,719,554,867,244,380,524,68935,5423,12801,91,1523,5,762,33,15400,406,2861,4951,399,146,185,12077,5509,3053,4848,855,278,148090,473,932,33.66548043,66.33451957,9,18,57,87
